title,text
"North Korea Talks Still On, China Tells Downer (Reuters)","Reuters - China has said no date has been set for working-level talks on the North Korean nuclear crisis and gave no indication that the meeting has been canceled, Australian Foreign Minister Alexander Downer said on Tuesday."
Griffin to Anchor D-Line,"The Redskins expect huge things from 300-pound Cornelius Griffin, who was signed to aid the team's weakest unit - the defensive line."
Last American defector in North Korea agrees to tell story  ,"  The last surviving American defector to communist North Korea wants to tell his story to put a human face on the Stalinist state which he believes is unfairly vilified abroad, British film-makers said."
Live: Olympics day four,Richard Faulds and Stephen Parry are going for gold for Great Britain on day four in Athens.
"Kerry Widens Lead in California, Poll Finds (Reuters)","Reuters - Democratic challenger John Kerry has a commanding lead over President Bush in California of 54 percent to 38 percent among likely voters, a poll released on Tuesday found."
Capacity Crowds at Beach Volleyball Rock the Joint," ATHENS (Reuters) - At the beach volleyball, the 2004  Olympics is a sell-out, foot-stomping success."
"Dollar Near Recent Lows, Awaits ZEW/CPI", LONDON (Reuters) - The dollar held steady near this week's  four-week low against the euro on Tuesday with investors  awaiting a German investor confidence survey and U.S. consumer  inflation numbers to shed light on the direction.
Intel to delay product aimed for high-definition TVs,"SAN FRANCISCO -- In the latest of a series of product delays, Intel Corp. has postponed the launch of a video display chip it had previously planned to introduce by year end, putting off a showdown with Texas Instruments Inc. in the fast-growing market for high-definition television displays."
Venezuela vote keeps Chavez as president,CARACAS -- Venezuelans voted resoundingly to keep firebrand populist Hugo Chavez as their president in a victory that drew noisy reactions yesterday from both sides in the streets. International observers certified the results as clean and accurate.
Jailing of HK democrat in China 'politically motivated'  ,  Hong Kong democrats accused China of jailing one of their members on trumped-up prostitution charges in a bid to disgrace a political movement Beijing has been feuding with for seven years.
Kmart Swings to Profit in 2Q; Stock Surges  ,  Shares of Kmart Holding Corp. surged 17 percent Monday after the discount retailer reported a profit for the second quarter and said chairman and majority owner Edward Lampert is now free to invest the company's   36;2.6 billion in surplus cash.
Fischer's Fiancee: Marriage Plans Genuine  ,"  Former chess champion Bobby Fischer's announcement thathe is engaged to a Japanese woman could win him sympathy among Japanese officials and help him avoid deportation to the United States, his fiancee and one of his supporters said Tuesday."
U.S. Misses Cut in Olympic 100 Free,"ATHENS, Greece - Top American sprinters Jason Lezak and Ian Crocker missed the cut in the Olympic 100-meter freestyle preliminaries Tuesday, a stunning blow for a country that had always done well in the event.    Pieter van den Hoogenband of the Netherlands and Australian Ian Thorpe advanced to the evening semifinal a day after dueling teenager Michael Phelps in the 200 freestyle, won by Thorpe "
Consumers Would Pay In Phone Proposal,"A proposal backed by a coalition of telephone carriers would cut billions of dollars in fees owed by long-distance companies to regional phone giants but would allow the regional companies to make up some of the difference by raising monthly phone bills for millions of consumers.  FONT face  verdana,MS Sans Serif,arial,helvetica  size  -2   color   666666 &gt; B&gt;-The Washington Post /B&gt; /FONT&gt;"
U.S. Brokers Cease-fire in Western Afghanistan," KABUL (Reuters) - The United States has brokered a  cease-fire between a renegade Afghan militia leader and the  embattled governor of the western province of Herat,  Washington's envoy to Kabul said Tuesday."
Sneaky Credit Card Tactics,Keep an eye on your credit card issuers -- they may be about to raise your rates.
Intel Delays Launch of Projection TV Chip,"In another product postponement, semiconductor giant Intel Corp. said it won't be offering a chip for projection TVs by the end of 2004 as it had announced earlier this year."
Fund pessimism grows,"NEW YORK (CNN/Money) - Money managers are growing more pessimistic about the economy, corporate profits and US stock market returns, according to a monthly survey by Merrill Lynch released Tuesday. "
Kederis proclaims innocence,Olympic champion Kostas Kederis today left hospital ahead of his date with IOC inquisitors claiming his innocence and vowing:  After the crucifixion comes the resurrection.   
Eriksson doesn  39;t feel any extra pressure following scandal,"NEWCASTLE, England   - England coach Sven-Goran Eriksson said Tuesday he isn  39;t under any extra pressure in the aftermath of a scandal that damaged the Football Association   reputation. "
Injured Heskey to miss England friendly,"NEWCASTLE, England   - Striker Emile Heskey has pulled out of the England squad ahead of Wednesday   friendly against Ukraine because of a tight hamstring, the Football Association said Tuesday. "
"Staples Profit Up, to Enter China Market"," NEW YORK (Reuters) - Staples Inc.  A HREF  http://www.investor.reuters.com/FullQuote.aspx?ticker SPLS.O target /stocks/quickinfo/fullquote &gt;SPLS.O /A&gt;, the top U.S.  office products retailer, on Tuesday reported a 39 percent jump  in quarterly profit, raised its full-year forecast and said it  plans to enter the fast-growing Chinese market, sending its  shares higher."
Delegation Is Delayed Before Reaching Najaf,"AGHDAD, Iraq, Aug. 17  A delegation of Iraqis was delayed for security reasons today but still intended to visit Najaf to try to convince a rebellious Shiite cleric and his militia to evacuate a shrine in the holy city and end  "
"Consumer Prices Down, Industry Output Up"," WASHINGTON (Reuters) - U.S. consumer prices dropped in July  for the first time in eight months as a sharp run up in energy  costs reversed, the government said in a report that suggested  a slow rate of interest rate hikes is likely."
"Olympic history for India, UAE","An Indian army major shot his way to his country   first ever individual Olympic silver medal on Tuesday, while in the same event an member of Dubai   ruling family became the first ever medallist from the United Arab Emirates. "
Home Depot Likes High Oil,"Rising fuel prices, a bugbear for most of the retail sector, are helping Home Depot (HD:NYSE - news - research), the remodeling giant that reported a surge in second-quarter earnings Tuesday and guided the rest of the year higher. "
China cracks down on  phone sex  services,"BEIJING, Aug. 17 (Xinhuanet) -- China is carrying out a nationwide campaign to crack down on  phone sex  services, paralleling another sweeping operation against Internet pornography, Minister of Information Industry Wang Xudong said here Tuesday. "
Surviving Biotech's Downturns,Charly Travers offers advice on withstanding the volatility of the biotech sector.
Mr Downer shoots his mouth off,"Just what Alexander Downer was thinking when he declared on radio last Friday that  they could fire a missile from North Korea to Sydney  is unclear. The provocative remark, just days before his arrival yesterday on his second visit to the North Korean  "
Edwards Banned from Games - Source," ATHENS (Reuters) - World 100 meters champion Torri Edwards  will miss the Athens Olympics after her appeal against a  two-year drugs ban was dismissed on Tuesday, a source told  Reuters."
Stocks Climb on Drop in Consumer Prices,"NEW YORK - Stocks rose for a second straight session Tuesday as a drop in consumer prices allowed investors to put aside worries about inflation, at least for the short term.    With gasoline prices falling to eight-month lows, the Consumer Price Index registered a small drop in July, giving consumers a respite from soaring energy prices "
"Iliadis, Tanimoto win judo golds","Ilias Iliadis of Greece thrilled the home crowd Tuesday, beating Roman Gontyuk of Ukraine to win the gold medal in the 81-kilogram class. "
Sudan vows to restore order to Darfur but calls for African peacekeepers  ,"  Sudan will take the lead in restoring order to its rebellious Darfur region but needs the support of African peacekeepers and humanitarian aid, Foreign Minister Mustafa Osman Ismail said."
TGn Sync Proposes New WLAN Standard,The battle over home entertainment networking is heating up as a coalition proposes yet another standard for the IEEE   consideration. 
Yahoo! Ups Ante for Small Businesses,Web giant Yahoo! is gambling that price cuts on its domain name registration and Web hosting products will make it more competitive with discounters in the space -- which means that small businesses looking to move online get a sweeter deal through  
IBM Buys Two Danish Services Firms,"IBM said Tuesday it has acquired a pair of Danish IT services firms as part of its effort to broaden its presence in Scandinavia. As a result of the moves, IBM will add about 3,700 IT staffers to its global head count. Financial terms of  "
Motorola and HP in Linux tie-up,"Motorola plans to sell mobile phone network equipment that uses Linux-based code, a step forward in network gear makers  39; efforts to rally around a standard. "
Microsoft Pushes Off SP2 Release,"Microsoft will delay the release of its SP2 update for another week to fix software glitches. But not everyone is quite so eager to install the SP2 update for Windows XP. In fact, many companies have demanded the ability to prevent their  "
Cassini Space Probe Spots Two New Saturn Moons (Reuters),"Reuters - Two new moons were spotted around Saturn by the Cassini space probe, raising the total to 33 moons for the ringed planet, NASA said on Monday."
Buckeyes have lots to replace but are brimming with optimism,There are remarkable similarities between the 2004 Ohio State Buckeyes and those that won the national championship just two years ago. 
IBM adds midrange server to eServer lineup,The new IBM Power5 eServer i5 550 also features higher performance and new virtualization capabilities that allow it to run multiple operating systems at once on separate partitions.
iPod Comparison,"Newsday  146;s Stephen Williams reports on seeing Sony  146;s NW-HD1 audio player in a store:   147;  145;How  146;s it compare to the iPod?  146; I asked a salesman.   145;Battery life is a lot longer, up to 30 hours,  146; he said.   145;The LCD readout is kind of dim,  146; I said.    146;Battery life is a lot longer,  146; he said.   145;I understand it can  146;t play MP3 files,  146; I said.   145;Battery life is a lot longer,  146; he said.  148; Aug 17"
Mills Grabs   1B Portfolio; Taubman Likely to Lose Contracts,"Mills Corp. agreed to purchase a 50 percent interest in nine malls owned by General Motors Asset Management Corp. for just over   1 billion, creating a new joint venture between the groups. The deal will extend  "
Women stumble to silver,ATHENS -- The mistakes were so minor. Carly Patterson   foot scraping the lower of the uneven bars. Courtney Kupets  39; tumbling pass that ended here instead of there. Mohini Bhardwaj   slight stumble on the beam. 
Oil prices bubble to record high,"The price of oil has continued its sharp rise overnight, closing at a record high. The main contract in New York, light sweet crude for delivery next month, has closed at a record   US46.75 a barrel - up 70 cents on yesterday   close. "
Notable quotes Tuesday at the Athens Olympics," It hurt like hell. I could see (Thorpe) coming up. But when I was breathing, I saw my team going crazy -- and that really kept me going.   "
AMD Ships Notebook Chips,"It wasn  39;t the first to go small, and it won  39;t be the biggest producer, but AMD   (Quote, Chart) 64-bit 90-nanometer (nm) chips are expected to make waves in the semiconductor pool. "
UK charges 8 in terror plot linked to alert in US,"LONDON, AUGUST 17: Britain charged eight terror suspects on Tuesday with conspiracy to commit murder and said one had plans that could be used in striking US buildings that were the focus of security scares this month. "
IBM Seeks To Have SCO Claims Dismissed (NewsFactor),"NewsFactor - IBM (NYSE: IBM) has -- again -- sought to have the pending legal claims by The SCO Group dismissed. According to a motion it filed in a U.S. district court, IBM argues that SCO has no evidence to support its claims that it appropriated confidential source code from Unix System V and placed it in Linux."
SUVs: Live And Let Die,NEW YORK - The newly released traffic crash fatality data have something for everyone in the debate about the safety of sport utility vehicles. 
Security scare as intruder dives in,A CANADIAN husband   love for his wife has led to a tightening of security at all Olympic venues in Athens. 
"Team USA barely wins, but struggles not all players  39; fault","Now that everybody in and around USA Basketball has breathed a huge sigh of relief, let   not get carried away. "
UPI NewsTrack Sports,"-- The United States men   basketball team capped off a big day for the USA by fighting off Greece for a vital win, 77-71.  They played with heart,  said Coach Larry Brown.  That   all you can ask.   "
Peace delegation leaves Najaf empty-handed as fighting continues,"BAGHDAD, Iraq - A national political conference   bid to end the fighting in the Shiite Muslim holy city of Najaf appeared to have failed Tuesday. "
Georgian president calls for international conference on South Ossetia,"TBILISI, Georgia  Georgian President Mikhail Saakashvili appealed to world leaders Tuesday to convene an international conference on the conflict in breakaway South Ossetia, where daily exchanges of gunfire threaten to spark  "
"Shelling, shooting resumes in breakaway Georgian region  ","  Georgian and South Ossetian forces overnight accused each other of trying to storm the other side's positions in Georgia's breakaway region of South Ossetia, as four Georgian soldiers were reported to be wounded."
"Youkilis, McCarty placed on 15-day disabled list","BOSTON -- It was another busy day on the medical front for the Red Sox, as a series of roster moves were announced prior to Tuesday night   game against the Blue Jays. "
Kerry-Kerrey Confusion Trips Up Campaign  ,"  John Kerry, Bob Kerrey. It's easy to get confused."
Former Florida Swimming Coach Dies at 83  ,"  William H. Harlan, the retired University of Florida swimming coach who led the Gators to eight conference titles, died Tuesday, school officials said. He was 83."
US Men Have Right Touch in Relay Duel Against Australia,"THENS, Aug. 17 - So Michael Phelps is not going to match the seven gold medals won by Mark Spitz. And it is too early to tell if he will match Aleksandr Dityatin, the Soviet gymnast who won eight total medals in 1980. But those were not the  "
Schrder adopts Russian orphan,"Three-year-old Victoria, from St Petersburg, has been living at the Schrders  39; family home in Hanover in northern Germany for several weeks. "
Cabrera Leads Red Sox Past Blue Jays 5-4  ,"  Orlando Cabrera hit a run-scoring double off the Green Monster in the ninth inning on reliever Justin Speier's second pitch of the game, giving the Boston Red Sox a 5-4 win over the Toronto Blue Jays on Tuesday night."
United Arab Emirates trap shooter secures nation   first Olympic gold,Sheik Ahmed bin Hashr Al-Maktoum earned the first-ever Olympic medal for the United Arab Emirates when he took home the gold medal in men   double trap shooting on Tuesday in Athens. 
"Sharon orders 1,000 homes in West Bank","Israel announced plans for 1,000 houses in the West Bank yesterday, accelerating the expansion of the settlements. "
So. Cal Player Investigated in Sex Assault  ,"  At least one member of the top-ranked Southern California football team is under investigation for sexual assault, the Los Angeles Police Department said Tuesday."
Bush Promotes His Plan for Missile Defense System,"President Bush, in Pennsylvania, said that opponents of a missile defense system were putting the nation's security at risk."
China Sighs in Relief as Yao Scores High,BEIJING (Reuters) - China breathed a measured sigh of relief after the skills of its basketball giant Yao Ming dwarfed New Zealand to sweep his team nearer to their goal of reaching the Athens Olympics semi-finals. 
Israelis OK new homes in West Bank,"A leaked Israeli plan to build 1,000 new Jewish settler homes in the West Bank yesterday sent Bush administration officials scrambling for a response in the sensitive period before November   presidential election. "
Britain accuses 8 of terror plot,"LONDON - British police charged eight terrorist suspects yesterday with conspiring to commit murder and use radioactive materials, toxic gases, chemicals or explosives to cause  fear or injury.   "
Israel kills 5 in strike at Hamas activist,"Islamic group   armed wing, the Izz el-Deen al-Qassam Brigades. Doctors said he suffered leg wounds. "
Zambrano Out Early; So Are Mets,"ENVER, Aug. 17 - Victor Zambrano came to the Mets with radical movement on his pitches, fixable flaws in his delivery and a curious sore spot lingering around his right elbow. "
"Dollar Stuck, CPI Offers Little Direction", TOKYO (Reuters) - The dollar moved in tight ranges on  Wednesday as most investors shrugged off lower-than-expected  U.S. inflation data and stuck to the view the U.S. Federal  Reserve would continue raising rates.
St. Louis Cardinals News,"Right-hander Matt Morris threw seven solid innings, but the Cardinals needed a bases-loaded walk to second baseman Tony Womack and a grand slam from new right fielder Larry Walker to key a six-run eighth inning for a  "
Greek sprinters arrive at IOC hearing,"ATHENS (Reuters) - Greek sprinters Costas Kenteris and Katerina Thanou have arrived at an Athens hotel for an International Olympic Committee (IOC) hearing into their missed doped tests, a saga that has shamed and angered the Olympic host  "
Flop in the ninth inning sinks Jays,BOSTON -- The Toronto Blue Jays have had worse hitting games this season against lesser pitchers than Pedro Martinez. 
Fresh Fighting Shatters Short-Lived Ceasefire Deal,"Renewed clashes in South Ossetia, which resulted in death of two Georgian soldiers, erupted late on August 17, several hours after the South Ossetian and Georgian officials agreed on ceasefire. As a result Tbilisi has already announced that it will not  "
Hamm hopes to get on a roll,"Paul Hamm takes another shot at history tonight, when he'll try to become the first American to win the Olympic men's all-around in gymnastics."
Karzai Promises Afghans Security for Election (Reuters),Reuters - Afghanistan's President Hamid Karzai promised Afghans greater security when they go to vote in the country's first ever democratic election during an independence day speech on Wednesday.
Google Lowers Its IPO Price Range,"SAN JOSE, Calif. - In a sign that Google Inc.'s initial public offering isn't as popular as expected, the company lowered its estimated price range to between   85 and   95 per share, down from the earlier prediction of   108 and   135 per share "
"Future Doctors, Crossing Borders",Students at the Mount Sinai School of Medicine learn that diet and culture shape health in East Harlem.
Oil Sets New Record   47 on Iraq Threat, LONDON (Reuters) - Oil prices surged to a new high of   47 a  barrel on Wednesday after a new threat by rebel militia against  Iraqi oil facilities and as the United States said inflation  had stayed in check despite rising energy costs.
Greek sprinters quit to end Games scandal,ATHENS (Reuters) - Greece   two top athletes have pulled out of the Athens Olympics and apologised to the Greek people for a scandal over missed dope tests that has tarnished the Games  39; return to their birthplace. 
Phelps Eyes Fourth Gold," ATHENS (Reuters) - A weary Michael Phelps targeted his  fourth Olympic gold medal in Athens, turning his attention on  Wednesday to the 200 meters individual medley and settling for  the second-fastest overall time in the heats."
Israel Kills 5 in Attempt to Assassinate Hamas Man, GAZA (Reuters) - A senior Hamas leader survived an Israeli  assassination attempt in the Gaza Strip Wednesday but at least  five other Palestinians were killed in the explosion that tore  through his home.
